Track Name,Artist Name(s),Cover File,Music File,Duration (ms),Duration (s)
Let U Go,lucidbeatz,Let_U_Go,Let_U_Go,128039,128.039
Streets,Doja Cat,Streets,Streets,226986,226.986
Loveeeeeee Song,Rihanna • Future,Loveeeeeee_Song,Loveeeeeee_Song,256320,256.320
FOR FUN,Lil Uzi Vert,FOR_FUN,FOR_FUN,188059,188.059
2 On (feat. ScHoolboy Q),Tinashe • ScHoolboy Q,2_On_(feat._ScHoolboy_Q),2_On_(feat._ScHoolboy_Q),227000,227.000
Stardust,MrHeadA$$Trendy • Limbo,Stardust,Stardust,175844,175.844
20 Min,Lil Uzi Vert,20_Min,20_Min,220586,220.586
DNA,LUCKI,DNA,DNA,144000,144.000
IG,Pi’erre Bourne,IG,IG,188475,188.475
bando - sped up + reverb,bbygirl,bando_-_sped_up_+_reverb,bando_-_sped_up_+_reverb,165578,165.578
Location,Playboi Carti,Location,Location,168783,168.783
Yeah I Said It,Rihanna,Yeah_I_Said_It,Yeah_I_Said_It,133080,133.080
P power (feat. Drake),Gunna • Drake,P_power_(feat._Drake),P_power_(feat._Drake),193346,193.346
Cameras / Good Ones Go Interlude - Medley,Drake,Cameras__Good_Ones_Go_Interlude_-_Medley,Cameras__Good_Ones_Go_Interlude_-_Medley,434960,434.960
Solo,Future,Solo,Solo,265996,265.996
Been Away,Brent Faiyaz,Been_Away,Been_Away,223629,223.629
Pain 1993 (with Playboi Carti),Drake • Playboi Carti,Pain_1993_(with_Playboi_Carti),Pain_1993_(with_Playboi_Carti),149077,149.077
Rich Nigga Shit (feat. Young Thug),21 Savage • Metro Boomin • Young Thug,Rich_Nigga_Shit_(feat._Young_Thug),Rich_Nigga_Shit_(feat._Young_Thug),190331,190.331
Spin Bout U,Drake • 21 Savage,Spin_Bout_U,Spin_Bout_U,214588,214.588
90210 (feat. Kacy Hill),Travis Scott • Kacy Hill,90210_(feat._Kacy_Hill),90210_(feat._Kacy_Hill),339066,339.066
Belong to the City,PARTYNEXTDOOR,Belong_to_the_City,Belong_to_the_City,98023,98.023
On tha linë,Yeat,On_tha_linë,On_tha_linë,154786,154.786
Sky,Playboi Carti,Sky,Sky,193234,193.234
TSU,Drake,TSU,TSU,308755,308.755
lost souls (with Brent Faiyaz),Baby Keem • Brent Faiyaz,lost_souls_(with_Brent_Faiyaz),lost_souls_(with_Brent_Faiyaz),269727,269.727
Saran Pack,Tay-K,Saran_Pack,Saran_Pack,70000,70.000
Spaced Out,Young Nudy,Spaced_Out,Spaced_Out,189554,189.554
Murder She Wrote,Tay-K,Murder_She_Wrote,Murder_She_Wrote,126344,126.344
5 Hoes in a Tahoe,Marino Infantry • A$AP ANT • LuLu P • Money Montana,5_Hoes_in_a_Tahoe,5_Hoes_in_a_Tahoe,176231,176.231
